name,code,Longitude,Latitude
Mojave River Sink California,CMOJ,"116бу 04' 46""","35бу 03' 11"""
Mormon Rock California,CMOR,"117бу 30' 07""","34бу 19' 03"""
Marquez California,CMRQ,"120бу 46' 23""","36бу 21' 35"""
Mountain Springs Grade California,CMSG,"116бу 05' 40""","32бу 40' 29"""
Mt. San Jacinto California,CMSJ,"116бу 38' 31""","33бу 48' 55"""
Mtn Home California,CMTH,"118бу 39' 56""","36бу 13' 26"""
Mateo Ridge California,CMTR,"117бу 31' 29""","33бу 24' 56"""
Mt. Washington California,CMTW,"118бу 12' 54""","34бу 06' 15"""
Mission Valley California,CMVA,"117бу 12' 00""","32бу 46' 48"""
Newhall Pass California,CNEW,"118бу 31' 13""","34бу 20' 13"""
San Clemente Isl. Nursery California,CNSC,"118бу 33' 10""","32бу 58' 44"""
Oak Creek California,COCR,"118бу 15' 56""","36бу 50' 37"""
Oak Grove #2 California,COG2,"116бу 47' 48""","33бу 23' 09"""
Ojai California,COJA,"119бу 13' 49""","34бу 26' 54"""
Oak Grove California,COKG,"116бу 47' 42""","33бу 23' 36"""
Oak Opening California,COKO,"118бу 42' 06""","36бу 10' 31"""
Opal Mountain California,COPA,"117бу 10' 32""","35бу 09' 15"""
